username,password,accessLevel,lastName,firstName,balance
jd1234a,bed4efa1d4fdbd954bd3705d6a2a78270ec9a52ecfbfb010c61862af5c76af1761ffeb1aef6aca1bf5d02b3781aa854fabd2b69c790de74e17ecfec3cb6ac4bf,0,Doe,John,-4.7
as5678b,bed4efa1d4fdbd954bd3705d6a2a78270ec9a52ecfbfb010c61862af5c76af1761ffeb1aef6aca1bf5d02b3781aa854fabd2b69c790de74e17ecfec3cb6ac4bf,1,Smith,Alice,0.5
rw9012c,adminPass789,0,Williams,Robert,-3.2
mm6789d,student321,0,Miller,Mary,-2.5
bh3456e,teacher789,0,Harris,Benjamin,0.1
cc9012f,adminPass123,0,Clark,Catherine,-4
rg5678g,student987,0,Garcia,Richard,-3.5
ws1234h,teacher567,0,Scott,Wendy,1
ph9012i,adminPass456,0,Hill,Patrick,0.7
kb5678j,student654,0,Baker,Katherine,-1.5
dt1234k,teacher234,1,Turner,David,0.2
gw5678l,adminPass321,0,White,Gloria,-2.8
mt9012m,student432,0,Moore,Thomas,0
tp5678n,teacher876,1,Parker,Taylor,0.3
rb1234o,adminPass654,2,Brooks,Rebecca,-3.6
ly9012p,student765,0,Young,Lisa,-1
hn5678q,teacher345,0,Nguyen,Henry,0.6
cw1234r,adminPass987,0,Watson,Caroline,-2.1
tt5678s,student543,0,Taylor,Tracy,-1.2
rw9012t,teacher432,1,Reed,Rachel,0.9
vm1234u,adminPass555,2,Moore,Vanessa,-3.4
hx5678v,student789,0,Xu,Helen,-2.3
kt1234w,teacher678,1,Tan,Kevin,0.8
sg5678x,adminPass888,0,Singh,Sarah,-3.9
